"ISBN","PubDate","PrintYear","Price","Discipline","Title","Subtitle","AuthorFirst1","AuthorLast1","AuthorAffiliation1","AuthorFirst2","AuthorLast2","AuthorAffiliation2","AuthorFirst3","AuthorLast3","AuthorAffiliation3","AuthorFirst4","AuthorLast4","AuthorAffiliation4","AuthorFirst5","AuthorLast5","AuthorAffiliation5","AuthorEditor","Imprint","Edition","Cover","Pages","Illustrations","Series","Volume","AuthorURL1","Description","TOC","Reviews","Classification","AuthorCountry"
"1590593170",2004-01-05,"2004",59.99,"Computer Science","Pro ASP.NET Web Forms Techniques, Second Edition",,"Alex","Homer",,,,,,,,,,,,,,"A","APress","02","SC","588",,,,,"This book aims to examine the possibilities for developing user interfaces that are driven by ASP.NET. It attempts to discuss and explore a range of techniques and approaches predominantly for creating Web sites and Web pages. This edition has been comple","Getting Started; Browser Compatibility with ASP.NET Server Controls; Laying the Foundations; The Home Page; Banners, Footers, and Email; The Ancillary Pages; Creating Graphs and Charts; Interactive Web Forms; Interactive Model Details; Car Prices and Quot",,"A","India"
"1590593189",2004-01-05,"2004",59.99,"Computer Science","Distributed Data Applications with ASP.NET, Second Edition",,"Alex","Homer",,"Dave","Sussman",,,,,,,,,,,"A","APress","02","SC","786",,,,,"This book concentrates on the use of ASP.NET 1.1 and Visual Studio 2003 to build applications for Internet or intranet use, and looks at the possibilities that rich clients bring to both application design and a better user experience. In particular, the ","The Distributed Application; Data Access Components; Accessing XML Documents; The Application Plumbing; Working with Down-level Clients; Working with Rich Clients; .NET Remoting to Clients; Updating Data in Down-level Clients; Updating Remote Cached Data;",,"A","USA"
"1590592174",2004-01-08,"2004",49.99,"Computer Science","Mastering Oracle PL/SQL: Practical Solutions","Practical Solutions","Connor","McDonald",,"David","Knox",,"Frank","Hubeny",,"Joel","Kallman",,"Chaim","Katz",,"A","Apress",,"SC","648",,,,,"PL/SQL is the procedural programming language of choice in the Oracle database. It is completely integrated with SQL and is the most fully optimized, highest performance language for database transaction processing.

This book is about cool, effective tec","Designing Efficient PL/SQL.- Data Handling.- Triggers.- DBA Packages.- Security Packages.- Web Packages.- Java Stored Procedures.- Using UDTs and UDFs.- Debugging.- Testing and Tuning.",,"A","China"
"1590592271",2004-01-08,"2004",59.99,"Computer Science","Ivor Horton¹s Beginning ANSI C++: The Complete Language, Third Edition (2nd printing)","The Complete Language ANSI/ISO Compliant, Third Edition","Ivor","Horton",,,,,,,,,,,,,,"A","Apress","03","SC","1120",,,,,"Ivor Horton's Beginning C++: The Complete Language ANSI/ISO Compliant , Third Edition is comprehensive ground-up tutorial on the complete ANSI C++ language. No prior knowledge of any particular programming language is assumed and only an appreciation of e","Chapter 1: Basic Ideas; Chapter 2: Basic Data Types and Calculations; Chapter 3: More on Handling Basic Data Types; Chapter 4: Choices and Decisions; Chapter 5: Loops; Chapter 6: Arrays and Strings; Chapter 7: Pointers; Chapter 8: Programming with Functio",,"A","Ghana"
"0387402497",2004-01-08,"2004",89.95,"Biology","An Introduction to Biomechanics","Solids and Fluids, Analysis and Design","Jay D.","Humphrey","Texas A&M University, College Station, TX","Sherry","Delange","Texas A&M University, College Station, TX",,,,,,,,,,"A",,,"HC","631","298",,,,"Designed to meet the needs of undergraduate students, Introduction to Biomechanics takes the fresh approach of combining the viewpoints of both a well-respected teacher and a successful student. With an eye toward practicality without loss of depth of ins","Introduction.- Part I - Introduction to biosolid mechanics.- Stress, strain, and constitutive relations for solids.- Equilibrium, universal solutions, and inflation.- Extension and torsion.- Beams and columns.- Some nonlinear problems.- Part II - Introduc",,"A","France"
"3211203028",2004-01-08,"2004",99.00,"Engineering","Modern Trends in Composite Laminates Mechanics",,"Holm","Altenbach","Martin-Luther-Universität Halle-Wittenberg, Halle, Germany","Wilfried","Becker","University of Siegen, Germany",,,,,,,,,,"E",,,"SC","294","95","CISM International Centre for Mechanical Sciences","000448",,"The aim of the book is to give a clear picture of some new modern trends in composite mechanics and to give a presentation of the current state-of-the-art of the theory and application of composite laminates. The book addresses the basics as well as recen","Single Layer Modelling and Effective Stiffness Estimations of Laminated Plates (H. Altenbach, J. Meenen).- Accurate Stress Analysis of Laminated Composite Structures (K.P. Soldatos).- Aspects of Application: Free Edges, Laminate Holes, and Optimal Topolog",,"C","England"
"0387008926",2004-01-08,"2004",44.95,"Mathematics","Berkeley Problems in Mathematics","Third Edition","Paulo N. de","Souza","University of California, Berkeley, CA","Jorge-Nuno","Silva","University of Lisbon, Portugal",,,,,,,,,,"A",,"03","SC","591","84","Problem Books in Mathematics",,,"In 1977, the Mathematics Department at the University of California, Berkeley, instituted a written examination as one of the first major requirements toward the Ph.D. degree in Mathematics. Its purpose was to determine whether first-year students in the ","I: PROBLEMS. 1: Real Analysis. 2: Multivariable Calculus. 3: Differential Equations. 4: Metric Spaces. 5: Complex Analysis. 6: Algebra. 7: Linear Algebra. II: SOLUTIONS. 8: Real Analysis. 9: Multivariable Calculus. 10: Differential Equations. 11: Metric S",,"A","India"
"3211007954",2004-01-08,"2004",49.95,"Economics & Law","Global Justice or Global Revenge?","International Criminal Justice at the Crossroads","Hans","Köchler","International Progress Organization, Vienna, Austria",,,,,,,,,,,,,"A",,,"SC","449",,,,,"The evolving concept of universal jurisdiction, the modern doctrine of humanitarian intervention, and the challenges faced by legal theory in addressing issues of international terrorism are subjects of this profound study. The author´s main intention is ","Contents: 
Introduction
The developing idea and practice of international criminal justice in the context of state sovereignty and individual responsibility
* Preliminary remarks
* The rationale of universal jurisdiction
* The dilemma of international cri",,"C","USA"
"0387201696",2004-01-08,"2004",49.95,"Mathematics","The Little Book of Bigger Primes",,"Paulo","Ribenboim","Queen's University, Kingston, Ontario, Canada",,,,,,,,,,,,,"A",,"02","SC","350",,,,,"A deep understanding of prime numbers is one of the great challenges in mathematics. In this new edition, fundamental theorems, challenging open problems, and the most recent computational records are presented in a language without secrets. The impressiv","Epigraph.- Preface.- Acknowledgements.- Guiding the Reader.- Table of Notations.- Introduction.- How Many Prime Numbers Are There?- How to Recognize Whether a Natural Number is a Prime.- Are There Functions Defining Prime Numbers?- How Are the Prime Numbe",,"A","China"
"1852337753",2004-01-08,"2004",49.95,"Computer Science","Common SAP R/3 Functions Manual",,"William","Lawlor","Dublin, Ireland",,,,,,,,,,,,,"A",,,"HC","396",,"Springer Professional Computing",,,"R/3 is a business system that has gained global prominence. However, the SAP R/3 has 237,000 function modules. Quite often the programmer is unaware that a module exists which can be of help in their programs. This convenient resource is a collection of t","An introduction to SAP .-Using Function Modules .-BASIS Routines .-ChConversion Routines .-Date and Time Routines .-File and Directory Routines .-Lists Routines .-Long Texts Routines .-Number Ranges Routines .-Office Integration Routines .-Popup Dialog Ro","<P>","B","Ghana"
